Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.004,0.007,0.000,0.000,0.003,0.004,0.002,0.003
P2_quad_10_1000,FAIL,FAIL,0.000,0.000,0.007,0.007,FAIL,FAIL
P3_quad_1000_10,0.031,0.085,SKIP,SKIP,1.883,1.822,0.629,1.027
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.001,0.002,0.006,0.005,FAIL,FAIL
P7_rosenbrock_2,FAIL,FAIL,0.002,0.002,0.004,0.003,0.002,0.002
P8_rosenbrock_100,0.010,0.010,SKIP,SKIP,0.022,0.021,0.011,0.010
P9_datafit_2,0.029,0.031,0.001,0.001,0.002,0.002,0.002,0.003
P10_exponential_10,0.002,0.002,0.002,0.002,0.003,0.003,0.009,0.035
P11_exponential_1000,0.002,0.002,SKIP,SKIP,0.002,0.001,0.001,0.001
P12_genhumps_5,0.012,0.014,0.017,0.010,0.009,0.004,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.001,0.003,0.003,FAIL,0.003
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.001,0.006,0.004,FAIL,0.008
