Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,121,30,2,2,28,19,41,23
P2_quad_10_1000,FAIL,FAIL,2,2,57,29,FAIL,78
P3_quad_1000_10,143,59,SKIP,SKIP,40,30,57,33
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,3,3,3,3,4,4,4,4
P6_quartic_2,11,10,20,10,78,32,FAIL,115
P7_rosenbrock_2,FAIL,FAIL,22,16,35,27,49,26
P8_rosenbrock_100,69,FAIL,SKIP,SKIP,113,FAIL,111,FAIL
P9_datafit_2,787,372,7,7,16,11,25,11
P10_exponential_10,23,8,16,11,20,13,153,168
P11_exponential_1000,23,8,SKIP,SKIP,11,6,11,6
P12_genhumps_5,209,78,101,18,75,62,FAIL,189
P13_rosenbrock_2_100,FAIL,FAIL,8,4,27,22,FAIL,21
P14_rosenbrock_2_1000,FAIL,FAIL,12,3,60,32,FAIL,42
