Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,121,134,2,3,28,54,41,69
P2_quad_10_1000,FAIL,FAIL,2,3,57,107,FAIL,605
P3_quad_1000_10,143,153,SKIP,SKIP,40,88,57,111
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,3,5,3,5,4,7,4,7
P6_quartic_2,11,22,20,39,78,128,FAIL,1282
P7_rosenbrock_2,FAIL,1036,22,46,35,77,49,144
P8_rosenbrock_100,69,146,SKIP,SKIP,113,287,111,FAIL
P9_datafit_2,787,1496,7,13,16,31,25,34
P10_exponential_10,23,23,16,31,20,46,153,252
P11_exponential_1000,23,23,SKIP,SKIP,11,15,11,15
P12_genhumps_5,209,189,101,104,75,86,FAIL,136
P13_rosenbrock_2_100,FAIL,FAIL,8,13,27,54,FAIL,155
P14_rosenbrock_2_1000,FAIL,FAIL,12,16,60,98,FAIL,218
