c1_tr,c2_tr,term_tol_CG,max_iterations_CG,result_dir,total_pairs,attempted_runs,skipped_runs,successful_runs,success_rate,avg_iterations,avg_total_evaluations,avg_f_evals,avg_g_evals,avg_H_evals
0.03,0.7,1e-2,100,/home/henry/511_project/parameter_sweeps_20260419_135531/tr/results_c1tr_0.03_c2tr_0.7_termtolcg_1e-2_maxitercg_100,28,24,4,23,0.9583333333333334,31.043478260869566,64.6086956521739,31.043478260869566,26.0,7.565217391304348
0.05,0.8,1e-2,100,/home/henry/511_project/parameter_sweeps_20260419_135531/tr/results_c1tr_0.05_c2tr_0.8_termtolcg_1e-2_maxitercg_100,28,24,4,23,0.9583333333333334,31.47826086956522,67.21739130434783,31.47826086956522,26.47826086956522,9.26086956521739
0.01,0.7,1e-2,100,/home/henry/511_project/parameter_sweeps_20260419_135531/tr/results_c1tr_0.01_c2tr_0.7_termtolcg_1e-2_maxitercg_100,28,24,4,23,0.9583333333333334,31.652173913043477,67.0,31.652173913043477,26.565217391304348,8.782608695652174
0.1,0.7,1e-2,100,/home/henry/511_project/parameter_sweeps_20260419_135531/tr/results_c1tr_0.1_c2tr_0.7_termtolcg_1e-2_maxitercg_100,28,24,4,23,0.9583333333333334,32.04347826086956,67.21739130434783,32.04347826086956,26.782608695652176,8.391304347826088
0.01,0.8,1e-2,100,/home/henry/511_project/parameter_sweeps_20260419_135531/tr/results_c1tr_0.01_c2tr_0.8_termtolcg_1e-2_maxitercg_100,28,24,4,23,0.9583333333333334,32.30434782608695,67.52173913043478,32.30434782608695,26.869565217391305,8.347826086956522
0.01,0.9,1e-2,100,/home/henry/511_project/parameter_sweeps_20260419_135531/tr/results_c1tr_0.01_c2tr_0.9_termtolcg_1e-2_maxitercg_100,28,24,4,23,0.9583333333333334,32.43478260869565,68.1304347826087,32.43478260869565,27.26086956521739,8.434782608695652
0.03,0.6,1e-2,100,/home/henry/511_project/parameter_sweeps_20260419_135531/tr/results_c1tr_0.03_c2tr_0.6_termtolcg_1e-2_maxitercg_100,28,24,4,23,0.9583333333333334,32.47826086956522,67.04347826086956,32.47826086956522,26.956521739130434,7.608695652173913
0.03,0.9,1e-2,100,/home/henry/511_project/parameter_sweeps_20260419_135531/tr/results_c1tr_0.03_c2tr_0.9_termtolcg_1e-2_maxitercg_100,28,24,4,23,0.9583333333333334,32.47826086956522,68.17391304347827,32.47826086956522,27.26086956521739,8.434782608695652
0.05,0.7,1e-2,100,/home/henry/511_project/parameter_sweeps_20260419_135531/tr/results_c1tr_0.05_c2tr_0.7_termtolcg_1e-2_maxitercg_100,28,24,4,23,0.9583333333333334,32.56521739130435,67.1304347826087,32.56521739130435,27.043478260869566,7.521739130434782
0.05,0.6,1e-2,100,/home/henry/511_project/parameter_sweeps_20260419_135531/tr/results_c1tr_0.05_c2tr_0.6_termtolcg_1e-2_maxitercg_100,28,24,4,23,0.9583333333333334,32.608695652173914,67.17391304347827,32.608695652173914,27.043478260869566,7.521739130434782
