Problem,GradientDescent,GradientDescentW,Newton,NewtonW,TRNewtonCG,TRSR1CG,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.003,0.003,0.000,0.000,0.001,0.002,0.003,0.005,0.002,0.001
P2_quad_10_1000,FAIL,FAIL,0.000,0.000,0.001,0.002,0.004,0.002,FAIL,FAIL
P3_quad_1000_10,2.165,2.229,SKIP,SKIP,SKIP,1.429,3.023,3.118,1.361,1.477
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.001,0.002,0.001,0.001,0.001,0.004,0.003,0.000
P6_quartic_2,0.004,0.002,0.003,0.015,0.020,0.088,0.070,0.062,FAIL,FAIL
P7_rosenbrock_2,FAIL,FAIL,0.011,0.002,0.006,0.015,0.002,0.002,0.003,0.002
P8_rosenbrock_100,0.016,0.032,SKIP,SKIP,SKIP,FAIL,0.302,0.103,0.033,0.024
P9_datafit_2,0.157,0.158,0.001,0.001,0.001,0.003,0.001,0.001,0.012,0.002
P10_exponential_10,0.003,0.002,0.002,0.009,0.003,0.003,0.002,0.005,0.038,0.093
P11_exponential_1000,0.012,0.002,SKIP,SKIP,SKIP,0.013,0.004,0.005,0.002,0.004
P12_genhumps_5,0.019,0.021,0.032,0.028,0.021,0.009,0.006,0.010,FAIL,FAIL
