Problem,GradientDescent,GradientDescentW,Newton,NewtonW,TRNewtonCG,TRSR1CG,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,65,128,2,3,6,12,18,34,18,37
P2_quad_10_1000,FAIL,FAIL,2,3,7,12,19,34,18,39
P3_quad_1000_10,69,141,SKIP,SKIP,SKIP,36,88,175,43,85
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,FAIL,FAIL,FAIL,FAIL,FAIL
P5_quartic_1,3,5,3,5,4,4,4,7,4,7
P6_quartic_2,11,21,20,39,20,50,78,156,FAIL,FAIL
P7_rosenbrock_2,FAIL,FAIL,22,44,23,78,35,70,49,75
P8_rosenbrock_100,69,133,SKIP,SKIP,SKIP,37,113,233,111,229
P9_datafit_2,787,1423,7,13,8,17,16,31,25,49
P10_exponential_10,30,44,16,31,15,21,27,46,188,930
P11_exponential_1000,23,43,SKIP,SKIP,SKIP,23,11,15,11,15
P12_genhumps_5,209,371,123,186,57,46,58,114,FAIL,FAIL
